"Count","Name","Path"
"952","Az.Communication","C:\Program Files\WindowsPowerShell\Modules\Az.Communication"
"952","Az.Compute","C:\Program Files\WindowsPowerShell\Modules\Az.Compute"
"952","Az.ConfidentialLedger","C:\Program Files\WindowsPowerShell\Modules\Az.ConfidentialLedger"
"952","Az.Confluent","C:\Program Files\WindowsPowerShell\Modules\Az.Confluent"
"952","Az.ConnectedKubernetes","C:\Program Files\WindowsPowerShell\Modules\Az.ConnectedKubernetes"
"952","Az.ConnectedMachine","C:\Program Files\WindowsPowerShell\Modules\Az.ConnectedMachine"
"952","Az.ConnectedNetwork","C:\Program Files\WindowsPowerShell\Modules\Az.ConnectedNetwork"
"952","Az.ConnectedVMware","C:\Program Files\WindowsPowerShell\Modules\Az.ConnectedVMware"
"952","Az.ContainerInstance","C:\Program Files\WindowsPowerShell\Modules\Az.ContainerInstance"
"952","Az.ContainerRegistry","C:\Program Files\WindowsPowerShell\Modules\Az.ContainerRegistry"
"952","Az.CosmosDB","C:\Program Files\WindowsPowerShell\Modules\Az.CosmosDB"
"952","Az.CostManagement","C:\Program Files\WindowsPowerShell\Modules\Az.CostManagement"
"952","Az.CustomLocation","C:\Program Files\WindowsPowerShell\Modules\Az.CustomLocation"
"952","Az.CustomProviders","C:\Program Files\WindowsPowerShell\Modules\Az.CustomProviders"
"952","Az.Dashboard","C:\Program Files\WindowsPowerShell\Modules\Az.Dashboard"
"952","Az.DataBox","C:\Program Files\WindowsPowerShell\Modules\Az.DataBox"
"952","Az.DataBoxEdge","C:\Program Files\WindowsPowerShell\Modules\Az.DataBoxEdge"
"952","Az.Databricks","C:\Program Files\WindowsPowerShell\Modules\Az.Databricks"
"952","Az.Datadog","C:\Program Files\WindowsPowerShell\Modules\Az.Datadog"
"952","Az.DataFactory","C:\Program Files\WindowsPowerShell\Modules\Az.DataFactory"
"952","Az.DataLakeAnalytics","C:\Program Files\WindowsPowerShell\Modules\Az.DataLakeAnalytics"
"952","Az.DataLakeStore","C:\Program Files\WindowsPowerShell\Modules\Az.DataLakeStore"
"952","Az.DataMigration","C:\Program Files\WindowsPowerShell\Modules\Az.DataMigration"
"952","Az.DataProtection","C:\Program Files\WindowsPowerShell\Modules\Az.DataProtection"
"952","Az.DataShare","C:\Program Files\WindowsPowerShell\Modules\Az.DataShare"
"952","Az.DedicatedHsm","C:\Program Files\WindowsPowerShell\Modules\Az.DedicatedHsm"
"952","Az.DesktopVirtualization","C:\Program Files\WindowsPowerShell\Modules\Az.DesktopVirtualization"
"952","Az.DesktopVirtualization.Utility","C:\Program Files\WindowsPowerShell\Modules\Az.DesktopVirtualization.Utility"
