"Type","Name","Command"
,"AzBobbyTables",
,"AzClassicModule",
,"AzcmHelper",
,"AzCostOptimization",
,"AzCostTools",
,"AzDanglingDomain",
,"AzDataFactoryV2Activities",
,"AzDataFactoryV2DataflowDependencies",
,"AzDataFactoryV2DatasetDependencies",
,"AzDataFactoryV2IntegrationRuntimeDependencies",
,"AzDataFactoryV2LinkedServiceDependencies",
,"AzDataFactoryV2PipelinesLastExecution",
,"AzDataFactoryV2TriggerDependencies",
,"AzDevOps",
,"AzDnsAsCode",
,"AzDO",
,"AzdoAPITools",
,"AzDOCmd",
,"AzDOps",
,"AzDOTestResults",
,"Azereo",
,"AzExpression",
,"AzExtensions",
,"AzFnUtil",
,"AZFW.NSG.LogViewer",
,"AZKVManager",
,"AzLogDcrIngestPS",
,"AzMarketplace",
,"azmi",
,"AzOps",
,"AzPipelineVariable",
,"AzPolicyEvaluation",
,"AzPolicyTest",
,"AzPreview",
,"AzPseudoGUI",
,"AzReports",
,"AzResourceGraphPS",
,"Azs.Azurebridge.Admin",
,"Azs.Backup.Admin",
,"Azs.Commerce.Admin",
,"Azs.Compute.Admin",
,"Azs.ContainerRegistry.Admin",
,"Azs.ContainerService.Admin",
,"Azs.Deployment.Admin",
,"Azs.Deployment.Worksheet",
,"Azs.Fabric.Admin",
,"Azs.Gallery.Admin",
,"Azs.Infrastructureinsights.Admin",
,"Azs.Keyvault.Admin",
,"Azs.Network.Admin",
,"Azs.Storage.Admin",
,"Azs.Subscriptions",
,"Azs.Subscriptions.Admin",
,"Azs.Syndication.Admin",
,"Azs.Tools.Admin",
,"Azs.Update.Admin",
,"AZSBTools",
,"AzsBuildUtilities",
,"AzSCAP.PolicyInsights",
,"AzSDK.ArmTemplateEvaluator.Pre",
,"AzSentinel",
,"AzSentinelTools",
,"AzSK.AAD",
,"AzSK.ADO",
,"AzSK.AzureDevOps",
,"AzSKPreview.ADO",
,"AzSKPreview.AzureDevOps",
,"AzSpeedOps",
,"AzSpeedTest",
,"AzSqlGateway",
,"AzStackHci.EnvironmentChecker",
,"AzStackHCI.VM",
,"AzStorageTable.TravisEz13",
,"AzSynapseActivities",
,"AzSynapseDataflowDependencies",
,"AzSynapseDatasetDependencies",
,"AzSynapseIntegrationRuntimeDependencies",
,"AzSynapseLinkedServiceDependencies",
,"AzSynapsePipelineLastExecution",
,"AzSynapseTriggerDependencies",
,"AzTable",
,"aztexttospeech",
,"AzToolbox",
,"aztools",
,"AzTS",
,"Azure",
,"azure-ad-license-status",
,"azure-ad-recovery-manager",
,"Azure-SecurityAsCode",
,"Azure.AnalysisServices",
,"Azure.Arc.Jumpstart.Common",
,"azure.databricks.cicd.tools",
,"azure.datafactory.tools",
,"Azure.DevOps",
,"Azure.DevOps.Function.Collection",
,"Azure.EventHub",
,"Azure.Function.Tools",
,"Azure.Storage",
,"azure.synapse.tools",
,"Azure.ToolKit",
,"AzureAD",
,"AzureAD.Standard.Preview",
,"AzureADAssessment",
,"AzureADAuthMethods",
,"AzureADCmdlets",
,"AzureAdDeployer",
,"AzureADExporter",
,"AzureAdGovernanceAssessment",
,"AzureADHybridAuthenticationManagement",
,"AzureADKerberosTest",
,"AzureADLicensing",
,"AzureADPreview",
,"AzureADStuff",
,"AzureADTenantID",
,"AzureADToolkit",
,"AzureAndADValidation",
,"AzureAPICrawler",
,"AzureApiUtils",
,"AzureApplicationStuff",
,"AzureArcConnectedAgentManagement",
,"AzureArmTemplateHelper",
,"AzureArtifactsPackageMigration",
,"AzureArtifactsPowerShellModuleHelper",
,"AzureAssess",
,"AzureAutomation",
,"AzureAutomationAuthoringToolkit",
,"AzureAutomationDebug",
,"AzureAutomationRunbookUtilities",
,"AzureAutomationTools.Logging",
,"AzureAutomationTools.PackageManagement",
,"AzureAutomationVsoGitSync",
,"AzureAvSetBasicPublicIPUpgrade",
,"AzureBasicLoadBalancerUpgrade",
,"AzureBicep",
,"AzureBlobStorageProvider",
,"AzureCli",
,"AzureCmdlets",
,"AzureCodeSigning",
,"AzureCommonStuff",
,"AzureConnectionAssistant",
,"AzureDataCatalogCmdlets",
,"AzureDatacenterIPOrNo",
,"AzureDataLakeManagement",
,"AzureDataLakeUtils",
,"AzureDataManagementCmdlets",
,"AzureDeviceStuff",
,"AzureDevOps",
,"AzureDevOps.Services.OpenApi",
,"AzureDevOpsAPIUtils",
,"AzureDevOpsBoardHelper",
,"AzureDevOpsCmdlets",
,"AzureDevopsDataCollector",
,"AzureDevOpsHelpers",
,"AzureDevOpsHousekeeping",
,"AzureDevOpsLogging",
,"AzureDevOpsMgmt",
,"AzureDevOpsPowerShell",
,"AzureDevOpsPS",
,"AzureDevopsSnapshotBranchPolicies",
,"AzureDiagnosticsAndLogAnalytics",
,"AzureExt",
,"AzureExtensions",
,"AzureFileSyncDsc",
,"AzureFunctionConfiguration",
,"AzureFunctions.PowerShell.Durable.SDK",
,"AzureFunctions.PowerShell.OpenTelemetry.SDK",
,"AzureFunctions.PowerShell.SDK",
,"AzureFwGitOps",
,"AzureGeneralHelpers",
,"AzureGraphApiHelper",
,"AzureGraphCmdlets",
,"AzureGroupStuff",
,"AzureHelper",
,"AzureHelpers",
,"AzureHunter",
,"AzureIoT",
,"AzureKeyVaultHelper",
,"AzureKeyVaultPasswordRepo",
,"AzureKQLPowerShellExtractor",
,"AzureLoadBalancerNATPoolMigration",
,"AzureM365GroupManagement",
,"AzureML",
,"AzureOtherStuff",
,"AzurePasswordManager",
,"AzurePIM",
,"AzurePipelinesPS",
,"AzurePowerShellUtilityFunctions",
,"AzureProfile",
,"AzurePSDrive",
,"AzurePublicIPAddresses",
,"AzureResourceData",
,"AzureResourceInventory",
,"AzureResourceManagementCmdlets",
,"AzureResourceSecurity",
,"AzureResourceStuff",
,"AzureRestApiHelper",
,"AzureRestHelper",
,"AzureRM",
,"azurerm-helpers",
,"AzureRM.AnalysisServices",
,"AzureRM.ApiManagement",
,"AzureRM.ApplicationInsights",
,"AzureRM.Automation",
,"AzureRm.AvailabilitySetManagement",
,"AzureRM.Backup",
,"AzureRM.Batch",
,"AzureRM.Billing",
